title,genre,runtime,votes,rating,revenue,director,actor,description
Wanted,Action,110,312495,6.7,134.57,Timur Bekmambetov,Angelina Jolie,A frustrated office worker learns that he is the son of a professional assassin and that he shares his father's superhuman killing abilities.
Florence Foster Jenkins,Biography,111,31776,6.9,27.37,Stephen Frears,Meryl Streep,The story of Florence Foster Jenkins a New York heiress who dreamed of becoming an opera singer despite having a terrible singing voice.
Collide,Action,99,7583,5.7,2.20,Eran Creevy,Nicholas Hoult,An American backpacker gets involved with a ring of drug smugglers as their driver though he winds up on the run from his employers across Cologne high-speed Autobahn.
Black Mass,Biography,123,135706,6.9,62.56,Scott Cooper,Johnny Depp,The true story of Whitey Bulger the brother of a state senator and the most infamous violent criminal in the history of South Boston who became an FBI informant to take down a Mafia family invading his turf.
Creed,Drama,133,175673,7.6,109.71,Ryan Coogler,Michael B. Jordan,The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson the son of his late friend and former rival Apollo Creed.
Swiss Army Man,Adventure,97,61812,7.1,4.21,Dan Kwan,Paul Dano,A hopeless man stranded on a deserted island befriends a dead body and together they go on a surreal journey to get home.
The Expendables 3,Action,126,137568,6.1,39.29,Patrick Hughes,Sylvester Stallone,Barney augments his team with new blood for a personal battle: to take down Conrad Stonebanks the Expendables co-founder and notorious arms trader who is hell bent on wiping out Barney and every single one of his associates.
What We Do in the Shadows,Comedy,86,84016,7.6,3.33,Jemaine Clement,Jemaine Clement,A documentary team films the lives of a group of vampires for a few months. The vampires share a house in Wellington New Zealand. Turns out vampires have their own domestic problems too.
Southpaw,Drama,124,169083,7.4,52.42,Antoine Fuqua,Jake Gyllenhaal,Boxer Billy Hope turns to trainer Tick Wills to help him get his life back on track after losing his wife in a tragic accident and his daughter to child protection services.
Hush,Horror,81,45867,6.6,0.50,Mike Flanagan,John Gallagher Jr.,A deaf writer who retreated into the woods to live a solitary life must fight for her life in silence when a masked killer appears at her window.
Bridge of Spies,Drama,142,217938,7.6,72.31,Steven Spielberg,Tom Hanks,During the Cold War an American lawyer is recruited to defend an arrested Soviet spy in court and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot Francis Gary Powers.
The Lego Movie,Animation,100,266508,7.8,257.76,Phil Lord,Chris Pratt,An ordinary Lego construction worker thought to be the prophesied 'Special' is recruited to join a quest to stop an evil tyrant from gluing the Lego universe into eternal stasis.
Everest,Action,121,154647,7.1,43.25,Baltasar Kormákur,Jason Clarke,The story of New Zealand's Robert Rob Edwin Hall who on May 10 1996 together with Scott Fischer teamed up on a joint expedition to ascend Mount Everest.
Pixels,Action,105,101092,5.6,78.75,Chris Columbus,Adam Sandler,When aliens misinterpret video feeds of classic arcade games as a declaration of war they attack the Earth in the form of the video games.
Robin Hood,Action,140,221117,6.7,105.22,Ridley Scott,Russell Crowe,In 12th century England Robin and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of world power.
The Wolverine,Action,126,355362,6.7,132.55,James Mangold,Hugh Jackman,When Wolverine is summoned to Japan by an old acquaintance he is embroiled in a conflict that forces him to confront his own demons.
John Carter,Action,132,220667,6.6,73.06,Andrew Stanton,Taylor Kitsch,Transported to Barsoom a Civil War vet discovers a barren planet seemingly inhabited by 12-foot tall barbarians. Finding himself prisoner of these creatures he escapes only to encounter Woola and a princess in desperate need of a savior.
Keanu,Action,100,31913,6.3,20.57,Peter Atencio,Keegan-Michael Key,When an L.A. drug kingpin's kitten unexpectedly enters the life of two cousins they will have to go through gangs hitmen and drug dealers who claim him in order to get him back.
The Gunman,Action,115,31194,5.8,10.64,Pierre Morel,Sean Penn,A sniper on a mercenary assassination team kills the minister of mines of the Congo. Terrier's successful kill shot forces him into hiding. Returning to the Congo years later he becomes the target of a hit squad himself.
Steve Jobs,Biography,122,116112,7.2,17.75,Danny Boyle,Michael Fassbender,Steve Jobs takes us behind the scenes of the digital revolution to paint a portrait of the man at its epicenter. The story unfolds backstage at three iconic product launches ending in 1998 with the unveiling of the iMac.
Whisky Galore,Comedy,98,102,5.0,0.50,Gillies MacKinnon,Tim Pigott-Smith,Scottish islanders try to plunder cases of whisky from a stranded ship.
Grown Ups 2,Comedy,101,114482,5.4,133.67,Dennis Dugan,Adam Sandler,After moving his family back to his hometown to be with his friends and their kids
The Age of Adaline,Drama,112,112288,7.2,42.48,Lee Toland Krieger,Blake Lively,A young woman born at the turn of the 20th century is rendered ageless after an accident. After many solitary years she meets a man who complicates the eternal life she has settled into.
The Incredible Hulk,Action,112,342355,6.8,134.52,Louis Leterrier,Edward Norton,Bruce Banner a scientist on the run from the U.S. Government must find a cure for the monster he emerges whenever he loses his temper.
Couples Retreat,Comedy,113,86417,5.5,109.18,Peter Billingsley,Vince Vaughn,A comedy centered around four couples who settle into a tropical-island resort for a vacation. While one of the couples is there to work on the marriage
Absolutely Anything,Comedy,85,26587,6.0,0.50,Terry Jones,Simon Pegg,A group of eccentric aliens confer a human being with the power to do absolutely anything as an experiment.
Magic Mike,Comedy,110,113686,6.1,113.71,Steven Soderbergh,Channing Tatum,A male stripper teaches a younger performer how to party pick up women and make easy money.
Minions,Animation,91,159830,6.4,336.03,Kyle Balda,Sandra Bullock,Minions Stuart Kevin and Bob are recruited by Scarlet Overkill a super-villain who alongside her inventor husband Herb hatches a plot to take over the world.
The Black Room,Horror,91,240,3.9,0.50,Rolfe Kanefsky,Natasha Henstridge,PAUL and JENNIFER HEMDALE have just moved into their dream house. But their happy marriage is about to be put to the test as they slowly discover the secret behind the black room in the ... See full summary »
Bronson,Action,92,93972,7.1,0.10,Nicolas Winding Refn,Tom Hardy,A young man who was sentenced to seven years in prison for robbing a post office ends up spending three decades in solitary confinement. During this time his own personality is supplanted by his alter-ego Charles Bronson.
Despicable Me,Animation,95,410607,7.7,251.50,Pierre Coffin,Steve Carell,When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme he finds their love is profoundly changing him for the better.
The Best of Me,Drama,118,49041,6.7,26.76,Michael Hoffman,James Marsden,A pair of former high school sweethearts reunite after many years when they return to visit their small hometown.
The Invitation,Drama,100,40529,6.7,0.23,Karyn Kusama,Logan Marshall-Green,While attending a dinner party at his former home a man thinks his ex-wife and her new husband have sinister intentions for their guests.
Zero Dark Thirty,Drama,157,226661,7.4,95.72,Kathryn Bigelow,Jessica Chastain,A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks and his death at the hands of the Navy S.E.A.L.s Team 6 in May 2011.
Tangled,Animation,100,316459,7.8,200.81,Nathan Greno,Mandy Moore,The magically long-haired Rapunzel has spent her entire life in a tower but now that a runaway thief has stumbled upon her she is about to discover the world for the first time and who she really is.
The Hunger Games: Mockingjay - Part 2,Action,137,202380,6.6,281.67,Francis Lawrence,Jennifer Lawrence,As the war of Panem escalates to the destruction of other districts Katniss Everdeen the reluctant leader of the rebellion must bring together an army against President Snow while all she holds dear hangs in the balance.
Vacation,Adventure,99,74589,6.1,58.88,John Francis Daley,Ed Helms,Rusty Griswold takes his own family on a road trip to Walley World in order to spice things up with his wife and reconnect with his sons.
Taken,Action,93,502961,7.8,145.00,Pierre Morel,Liam Neeson,A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter who has been kidnapped while on a trip to Paris.
Pitch Perfect 2,Comedy,115,108306,6.5,183.44,Elizabeth Banks,Anna Kendrick,After a humiliating command performance at The Kennedy Center the Barden Bellas enter an international competition that no American group has ever won in order to regain their status and right to perform.
Monsters University,Animation,104,252119,7.3,268.49,Dan Scanlon,Billy Crystal,A look at the relationship between Mike and Sulley during their days at Monsters University -- when they weren't necessarily the best of friends.
Elle,Crime,130,35417,7.2,0.50,Paul Verhoeven,Isabelle Huppert,A successful businesswoman gets caught up in a game of cat and mouse as she tracks down the unknown man who raped her.
Mechanic: Resurrection,Action,98,48161,5.6,21.20,Dennis Gansel,Jason Statham,Arthur Bishop thought he had put his murderous past behind him until his most formidable foe kidnaps the love of his life. Now he is forced to travel the globe to complete three impossible assassinations and do what he does best: make them look like accidents.
Tusk,Comedy,102,34546,5.4,1.82,Kevin Smith,Justin Long,When podcaster Wallace Bryton goes missing in the backwoods of Manitoba while interviewing a mysterious seafarer named Howard Howe his best friend Teddy and girlfriend Allison team with an ex-cop to look for him.
The Headhunter's Calling,Drama,108,164,6.9,0.50,Mark Williams,Alison Brie,A headhunter whose life revolves around closing deals in a a survival-of-the-fittest boiler room
Atonement,Drama,123,202890,7.8,50.92,Joe Wright,Keira Knightley,Fledgling writer Briony Tallis as a thirteen-year-old irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.
Harry Potter and the Deathly Hallows: Part 1,Adventure,146,357213,7.7,294.98,David Yates,Daniel Radcliffe,As Harry races against time and evil to destroy the Horcruxes he uncovers the existence of three most powerful objects in the wizarding world: the Deathly Hallows.
Shame,Drama,101,155010,7.2,4.00,Steve McQueen,Michael Fassbender,A man's carefully cultivated private life is disrupted when his sister arrives for an indefinite stay.
